UserId,Location,Theater,Movie,Day,Hour,PaidPrice,Line,Seat
patrik,Budapest,Allee,Avatar,2022/12/20,20:30,2000,10,10,
patrik,Budapest,Allee,Avatar,2022/12/20,20:30,2000,10,11,
patrik,Budapest,MomPark,FeketeParduc2,2022/12/20,21:15,2000,10,10,
patrik,Budapest,MomPark,FeketeParduc2,2022/12/20,21:15,2000,10,11,
patrik,Budapest,MomPark,FeketeParduc2,2022/12/20,21:15,2000,10,13,
patrik,Budapest,Allee,Avatar,2022/12/20,20:30,2000,10,10,
patrik,Budapest,Allee,Avatar,2022/12/20,20:30,2000,10,11,
patrik,Pecs,Plaza,FeketeParduc2,2022/12/20,21:15,2000,11,11,
patrik,Pecs,Plaza,FeketeParduc2,2022/12/20,21:15,2000,11,12,
patrik,Veszprem,BalatonPlaza,Avatar,2022/12/20,18:45,2000,10,10,
patrik,Veszprem,BalatonPlaza,Avatar,2022/12/20,18:45,2000,10,11,
patrik,Budapest,Allee,Avatar,2022/12/20,20:30,2000,10,10,
patrik,Budapest,Allee,Avatar,2022/12/20,20:30,2000,11,11,
patrik,Budapest,Allee,Avatar,2022/12/20,20:30,2000,10,10,
patrik,Budapest,Allee,Avatar,2022/12/20,20:30,2000,10,10,
patrik,Budapest,Allee,Avatar,2022/12/20,20:30,2000,10,10,
patrik,Budapest,Allee,Avatar,2022/12/20,20:30,2000,10,10,
patrik,Budapest,Allee,Avatar,2022/12/20,20:30,2000,1,1,
patrik,Budapest,Allee,Avatar,2022/12/20,20:30,2000,10,12,
patrik,Budapest,Allee,Avatar,2022/12/20,20:30,2000,1,1,
patrik,Budapest,Allee,Avatar,2022/12/20,20:30,2000,1,1,
patrik,Budapest,MomPark,FeketeParduc2,2022/12/20,21:15,2000,22,23,
patrik,Pecs,Plaza,Avatar,2022/12/21,20:30,2000,13,31,
patrik,Budapest,Allee,VerApo,2022/12/20,20:30,2000,24,42,
